Month,Distric,Cases
1/1/2021,Colombo ,5884
1/1/2021,Gampaha ,3873
1/1/2021,Puttalam ,233
1/1/2021,Kalutara ,1403
1/1/2021,Anuradhapura,76
1/1/2021,Kandy ,1143
1/1/2021,Kurunegala,592
1/1/2021,Polonnaruwa,99
1/1/2021,Jaffna ,70
1/1/2021,Ratnapura ,599
1/1/2021,Kegalle ,564
1/1/2021,Moneragala,136
1/1/2021,Kalmunai ,372
1/1/2021,Matale,393
1/1/2021,Galle ,763
1/1/2021,Ampara ,98
1/1/2021,Badulla,165
1/1/2021,Matara ,531
1/1/2021,Batticoloa ,211
1/1/2021,Hambantota,219
1/1/2021,Vavunia,285
1/1/2021,Trincomalee,319
1/1/2021,Nuwaraeliya ,257
1/1/2021,Kilinochchi ,18
1/1/2021,Mannar ,122
1/1/2021,Mullativu ,10
2/1/2021,Colombo ,4599
2/1/2021,Gampaha ,3736
2/1/2021,Puttalam ,451
2/1/2021,Kalutara ,1806
2/1/2021,Anuradhapura,262
2/1/2021,Kandy ,1472
2/1/2021,Kurunegala,1042
2/1/2021,Polonnaruwa,61
2/1/2021,Jaffna ,128
2/1/2021,Ratnapura ,845
2/1/2021,Kegalle ,366
2/1/2021,Moneragala,192
2/1/2021,Kalmunai ,150
2/1/2021,Matale,373
2/1/2021,Galle ,637
2/1/2021,Ampara ,139
2/1/2021,Badulla,924
2/1/2021,Matara ,658
2/1/2021,Batticoloa ,138
2/1/2021,Hambantota,259
2/1/2021,Vavunia,41
2/1/2021,Trincomalee,71
2/1/2021,Nuwaraeliya ,396
2/1/2021,Kilinochchi ,72
2/1/2021,Mannar ,90
2/1/2021,Mullativu ,11
3/1/2021,Colombo ,1791
3/1/2021,Gampaha ,1779
3/1/2021,Puttalam ,104
3/1/2021,Kalutara ,522
3/1/2021,Anuradhapura,145
3/1/2021,Kandy ,295
3/1/2021,Kurunegala,366
3/1/2021,Polonnaruwa,27
3/1/2021,Jaffna ,468
3/1/2021,Ratnapura ,815
3/1/2021,Kegalle ,262
3/1/2021,Moneragala,171
3/1/2021,Kalmunai ,67
3/1/2021,Matale,195
3/1/2021,Galle ,474
3/1/2021,Ampara ,45
3/1/2021,Badulla,278
3/1/2021,Matara ,253
3/1/2021,Batticoloa ,118
3/1/2021,Hambantota,131
3/1/2021,Vavunia,61
3/1/2021,Trincomalee,64
3/1/2021,Nuwaraeliya ,207
3/1/2021,Kilinochchi ,25
3/1/2021,Mannar ,55
3/1/2021,Mullativu ,19
4/1/2021,Colombo ,2754
4/1/2021,Gampaha ,1758
4/1/2021,Puttalam ,391
4/1/2021,Kalutara ,887
4/1/2021,Anuradhapura,109
4/1/2021,Kandy ,404
4/1/2021,Kurunegala,1810
4/1/2021,Polonnaruwa,28
4/1/2021,Jaffna ,638
4/1/2021,Ratnapura ,309
4/1/2021,Kegalle ,70
4/1/2021,Moneragala,266
4/1/2021,Kalmunai ,22
4/1/2021,Matale,465
4/1/2021,Galle ,356
4/1/2021,Ampara ,39
4/1/2021,Badulla,61
4/1/2021,Matara ,170
4/1/2021,Batticoloa ,22
4/1/2021,Hambantota,168
4/1/2021,Vavunia,47
4/1/2021,Trincomalee,177
4/1/2021,Nuwaraeliya ,220
4/1/2021,Kilinochchi ,16
4/1/2021,Mannar ,21
4/1/2021,Mullativu ,23
5/1/2021,Colombo ,15050
5/1/2021,Gampaha ,11761
