Year,Quarter,Month,Day,Cases,Distric
2023,Qtr 1,January,1,0,Ampara
2023,Qtr 1,January,1,0,Anuradhapura
2023,Qtr 1,January,1,0,Badulla
2023,Qtr 1,January,1,1,Batticaloa
2023,Qtr 1,January,1,133,Colombo
2023,Qtr 1,January,1,6,Galle
2023,Qtr 1,January,1,33,Gampaha
2023,Qtr 1,January,1,0,Hambantota
2023,Qtr 1,January,1,0,Jaffna
2023,Qtr 1,January,1,0,Kalmunai
2023,Qtr 1,January,1,6,Kalutara
2023,Qtr 1,January,1,6,Kandy
2023,Qtr 1,January,1,2,Kegalle
2023,Qtr 1,January,1,0,Kilinochchi
2023,Qtr 1,January,1,5,Kurunagala
2023,Qtr 1,January,1,0,Mannar
2023,Qtr 1,January,1,0,Matale
2023,Qtr 1,January,1,1,Matara
2023,Qtr 1,January,1,0,Monaragala
2023,Qtr 1,January,1,0,Mullaitivu
2023,Qtr 1,January,1,0,Nuwara Eli ya
2023,Qtr 1,January,1,1,Polonnaruwa
2023,Qtr 1,January,1,1,Puttalam
2023,Qtr 1,January,1,0,Ratnapura
2023,Qtr 1,January,1,0,Trincomalee
2023,Qtr 1,January,1,0,Vavuniya
2023,Qtr 1,February,1,0,Ampara
2023,Qtr 1,February,1,0,Anuradhapura
2023,Qtr 1,February,1,0,Badulla
2023,Qtr 1,February,1,1,Batticaloa
2023,Qtr 1,February,1,74,Colombo
2023,Qtr 1,February,1,4,Galle
2023,Qtr 1,February,1,19,Gampaha
2023,Qtr 1,February,1,1,Hambantota
2023,Qtr 1,February,1,0,Jaffna
2023,Qtr 1,February,1,0,Kalmunai
2023,Qtr 1,February,1,4,Kalutara
2023,Qtr 1,February,1,2,Kandy
2023,Qtr 1,February,1,0,Kegalle
2023,Qtr 1,February,1,0,Kilinochchi
2023,Qtr 1,February,1,1,Kurunagala
2023,Qtr 1,February,1,0,Mannar
2023,Qtr 1,February,1,0,Matale
2023,Qtr 1,February,1,2,Matara
2023,Qtr 1,February,1,1,Monaragala
2023,Qtr 1,February,1,0,Mullaitivu
2023,Qtr 1,February,1,0,Nuwara Eli ya
2023,Qtr 1,February,1,0,Polonnaruwa
2023,Qtr 1,February,1,0,Puttalam
2023,Qtr 1,February,1,1,Ratnapura
2023,Qtr 1,February,1,0,Trincomalee
2023,Qtr 1,February,1,0,Vavuniya
2023,Qtr 1,March,1,0,Ampara
2023,Qtr 1,March,1,0,Anuradhapura
2023,Qtr 1,March,1,0,Badulla
2023,Qtr 1,March,1,0,Batticaloa
2023,Qtr 1,March,1,21,Colombo
2023,Qtr 1,March,1,6,Galle
2023,Qtr 1,March,1,5,Gampaha
2023,Qtr 1,March,1,0,Hambantota
2023,Qtr 1,March,1,0,Jaffna
2023,Qtr 1,March,1,0,Kalmunai
2023,Qtr 1,March,1,2,Kalutara
2023,Qtr 1,March,1,2,Kandy
2023,Qtr 1,March,1,2,Kegalle
2023,Qtr 1,March,1,0,Kilinochchi
2023,Qtr 1,March,1,0,Kurunagala
2023,Qtr 1,March,1,0,Mannar
2023,Qtr 1,March,1,0,Matale
2023,Qtr 1,March,1,0,Matara
2023,Qtr 1,March,1,0,Monaragala
2023,Qtr 1,March,1,0,Mullaitivu
2023,Qtr 1,March,1,1,Nuwara Eli ya
2023,Qtr 1,March,1,0,Polonnaruwa
2023,Qtr 1,March,1,2,Puttalam
2023,Qtr 1,March,1,0,Ratnapura
2023,Qtr 1,March,1,0,Trincomalee
2023,Qtr 1,March,1,0,Vavuniya
2023,Qtr 2,April,1,0,Ampara
2023,Qtr 2,April,1,0,Anuradhapura
2023,Qtr 2,April,1,0,Badulla
2023,Qtr 2,April,1,0,Batticaloa
2023,Qtr 2,April,1,24,Colombo
2023,Qtr 2,April,1,2,Galle
2023,Qtr 2,April,1,8,Gampaha
2023,Qtr 2,April,1,0,Hambantota
2023,Qtr 2,April,1,0,Jaffna
2023,Qtr 2,April,1,0,Kalmunai
2023,Qtr 2,April,1,0,Kalutara
2023,Qtr 2,April,1,0,Kandy
2023,Qtr 2,April,1,1,Kegalle
2023,Qtr 2,April,1,0,Kilinochchi
2023,Qtr 2,April,1,0,Kurunagala
2023,Qtr 2,April,1,0,Mannar
2023,Qtr 2,April,1,0,Matale
2023,Qtr 2,April,1,0,Matara
2023,Qtr 2,April,1,0,Monaragala
2023,Qtr 2,April,1,0,Mullaitivu
2023,Qtr 2,April,1,0,Nuwara Eli ya
2023,Qtr 2,April,1,0,Polonnaruwa
2023,Qtr 2,April,1,0,Puttalam
2023,Qtr 2,April,1,0,Ratnapura
2023,Qtr 2,April,1,0,Trincomalee
2023,Qtr 2,April,1,0,Vavuniya
2023,Qtr 2,May,1,0,Ampara
2023,Qtr 2,May,1,0,Anuradhapura
2023,Qtr 2,May,1,0,Badulla
2023,Qtr 2,May,1,0,Batticaloa
2023,Qtr 2,May,1,48,Colombo
2023,Qtr 2,May,1,4,Galle
2023,Qtr 2,May,1,5,Gampaha
2023,Qtr 2,May,1,0,Hambantota
2023,Qtr 2,May,1,6,Jaffna
2023,Qtr 2,May,1,1,Kalmunai
2023,Qtr 2,May,1,3,Kalutara
2023,Qtr 2,May,1,2,Kandy
2023,Qtr 2,May,1,3,Kegalle
2023,Qtr 2,May,1,0,Kilinochchi
2023,Qtr 2,May,1,5,Kurunagala
2023,Qtr 2,May,1,0,Mannar
2023,Qtr 2,May,1,1,Matale
2023,Qtr 2,May,1,1,Matara
2023,Qtr 2,May,1,1,Monaragala
2023,Qtr 2,May,1,0,Mullaitivu
2023,Qtr 2,May,1,0,Nuwara Eli ya
2023,Qtr 2,May,1,0,Polonnaruwa
2023,Qtr 2,May,1,0,Puttalam
2023,Qtr 2,May,1,1,Ratnapura
2023,Qtr 2,May,1,1,Trincomalee
2023,Qtr 2,May,1,0,Vavuniya
2023,Qtr 2,June,1,0,Ampara
2023,Qtr 2,June,1,0,Anuradhapura
2023,Qtr 2,June,1,2,Badulla
2023,Qtr 2,June,1,2,Batticaloa
2023,Qtr 2,June,1,183,Colombo
2023,Qtr 2,June,1,11,Galle
2023,Qtr 2,June,1,41,Gampaha
2023,Qtr 2,June,1,2,Hambantota
2023,Qtr 2,June,1,0,Jaffna
2023,Qtr 2,June,1,1,Kalmunai
2023,Qtr 2,June,1,12,Kalutara
2023,Qtr 2,June,1,2,Kandy
2023,Qtr 2,June,1,3,Kegalle
2023,Qtr 2,June,1,0,Kilinochchi
2023,Qtr 2,June,1,4,Kurunagala
2023,Qtr 2,June,1,0,Mannar
2023,Qtr 2,June,1,0,Matale
2023,Qtr 2,June,1,3,Matara
2023,Qtr 2,June,1,0,Monaragala
2023,Qtr 2,June,1,0,Mullaitivu
2023,Qtr 2,June,1,2,Nuwara Eli ya
2023,Qtr 2,June,1,1,Polonnaruwa
2023,Qtr 2,June,1,7,Puttalam
2023,Qtr 2,June,1,3,Ratnapura
2023,Qtr 2,June,1,0,Trincomalee
2023,Qtr 2,June,1,0,Vavuniya
2023,Qtr 3,July,1,0,Ampara
2023,Qtr 3,July,1,0,Anuradhapura
2023,Qtr 3,July,1,0,Badulla
2023,Qtr 3,July,1,0,Batticaloa
2023,Qtr 3,July,1,53,Colombo
2023,Qtr 3,July,1,0,Galle
2023,Qtr 3,July,1,8,Gampaha
2023,Qtr 3,July,1,0,Hambantota
2023,Qtr 3,July,1,0,Jaffna
2023,Qtr 3,July,1,0,Kalmunai
2023,Qtr 3,July,1,1,Kalutara
2023,Qtr 3,July,1,3,Kandy
2023,Qtr 3,July,1,2,Kegalle
2023,Qtr 3,July,1,0,Kilinochchi
2023,Qtr 3,July,1,3,Kurunagala
2023,Qtr 3,July,1,0,Mannar
2023,Qtr 3,July,1,0,Matale
2023,Qtr 3,July,1,2,Matara
2023,Qtr 3,July,1,0,Monaragala
2023,Qtr 3,July,1,0,Mullaitivu
2023,Qtr 3,July,1,0,Nuwara Eli ya
2023,Qtr 3,July,1,0,Polonnaruwa
2023,Qtr 3,July,1,0,Puttalam
2023,Qtr 3,July,1,0,Ratnapura
2023,Qtr 3,July,1,0,Trincomalee
2023,Qtr 3,July,1,0,Vavuniya
2023,Qtr 3,August,1,0,Ampara
2023,Qtr 3,August,1,0,Anuradhapura
2023,Qtr 3,August,1,0,Badulla
2023,Qtr 3,August,1,0,Batticaloa
2023,Qtr 3,August,1,18,Colombo
2023,Qtr 3,August,1,2,Galle
2023,Qtr 3,August,1,1,Gampaha
2023,Qtr 3,August,1,1,Hambantota
2023,Qtr 3,August,1,0,Jaffna
2023,Qtr 3,August,1,0,Kalmunai
2023,Qtr 3,August,1,0,Kalutara
2023,Qtr 3,August,1,1,Kandy
2023,Qtr 3,August,1,2,Kegalle
2023,Qtr 3,August,1,0,Kilinochchi
2023,Qtr 3,August,1,0,Kurunagala
2023,Qtr 3,August,1,0,Mannar
2023,Qtr 3,August,1,0,Matale
2023,Qtr 3,August,1,0,Matara
2023,Qtr 3,August,1,0,Monaragala
2023,Qtr 3,August,1,0,Mullaitivu
2023,Qtr 3,August,1,0,Nuwara Eli ya
2023,Qtr 3,August,1,0,Polonnaruwa
2023,Qtr 3,August,1,0,Puttalam
2023,Qtr 3,August,1,0,Ratnapura
2023,Qtr 3,August,1,0,Trincomalee
2023,Qtr 3,August,1,0,Vavuniya
2023,Qtr 3,September,1,0,Ampara
2023,Qtr 3,September,1,0,Anuradhapura
2023,Qtr 3,September,1,0,Badulla
2023,Qtr 3,September,1,0,Batticaloa
2023,Qtr 3,September,1,3,Colombo
2023,Qtr 3,September,1,0,Galle
2023,Qtr 3,September,1,1,Gampaha
2023,Qtr 3,September,1,0,Hambantota
2023,Qtr 3,September,1,0,Jaffna
2023,Qtr 3,September,1,0,Kalmunai
2023,Qtr 3,September,1,0,Kalutara
2023,Qtr 3,September,1,0,Kandy
2023,Qtr 3,September,1,0,Kegalle
2023,Qtr 3,September,1,0,Kilinochchi
2023,Qtr 3,September,1,0,Kurunagala
2023,Qtr 3,September,1,0,Mannar
2023,Qtr 3,September,1,0,Matale
2023,Qtr 3,September,1,0,Matara
2023,Qtr 3,September,1,0,Monaragala
2023,Qtr 3,September,1,0,Mullaitivu
2023,Qtr 3,September,1,0,Nuwara Eli ya
2023,Qtr 3,September,1,0,Polonnaruwa
2023,Qtr 3,September,1,1,Puttalam
2023,Qtr 3,September,1,0,Ratnapura
2023,Qtr 3,September,1,0,Trincomalee
2023,Qtr 3,September,1,0,Vavuniya
